a.m,n.(缩)上午；午前
extent,n.广度范围程度宽度长度大小[律]<英>扣押<美>临时所有权令
exterior,adj.外部的外在的表面的对外的
external,adj.外部的外面的外用的客观的表面的n.外部
extinct,a.绝种的；熄灭了的
extinguish,vt.熄灭，扑灭；消灭
extra,adj.额外的ad.特别地n.额外的事物另外收费的
extract,k t.取出；榨取 n.摘录
extraordinary,adj.非同寻常的特别的非凡的特派的
extravagant,a.奢侈的；过度的
extreme,adj.极度的极端的尽头的严重的末端的n.极端极限
extremely,adv.极端极其非常
eye,n.眼睛眼力鉴赏力v.看注视
eyesight,n.视力目力
fabricate,vt.制作，组合；捏造
facet,"n. 小平面,方面,刻面"
facilitate,vt.使容易；助长
facility,n.设备容易便利灵巧容易熟练
fact,n.事实实际实情
factor,n.因素因子系数vt.把…因素包括进去vi.作为因素
factory,n.工厂制造厂
faculty,n.才能能力(大学的)系科全体教员
fade,vi.褪色逐渐消失凋谢vt.使褪色n.淡入淡出adj.平凡的乏味的
Fahrenheit,n.华氏温度计adj.华氏的
fail,vi.失败失灵不能衰退不及格vt.辜负缺少未能做n.不及格
failure,n.失败失败的人或事
faint,adj.微弱的虚弱的无力的模糊的v.昏倒n.昏厥昏倒
fair,"adj.公平的晴朗的美丽的相当的(皮肤毛发等)浅色的白皙的n.展
览会市集定期集市adv.公平地直接地"
fairly,adv.相当公平地公正地合法地适当地
faith,n.信任信心信仰
faithful,adj.忠诚的如实的
fake,n.假货，膺品 a.假的
fall,vi.落下跌倒倒下陷落来临n.秋天落下瀑布
FALSE,"adj.不真实的伪造的人造的假的错误的虚伪的adv.不真诚地虚伪
地"
fame,n.名声名望vt.使有名望
familiar,adj.熟悉的熟知的不拘礼节的冒昧的n.熟人熟悉某种事物的人
family,n.家家庭家族adj.家庭的
famine,n.饥荒严重的缺乏
famous,adj.著名的出名的一流的
fan,"n.(运动等)狂热爱好者风扇扇形物vt.风选煽吹煽动向扇子一样
展开vi.像扇子一样行动鱼贯而出"
fancy,"n.想象力设想幻想爱好喜好adj.想像的时髦的华丽装饰的奢侈的
技巧的vt.想象自认为喜好"
fantastic,a.空想的；奇异的
fantasy,"n. 幻想,白日梦"
far,adj.远的adv.远遥远n.远处
fare,n.车费船费票价费用食物vi.进展进食
farewell,int.再会别了n.告别adj.告别的
farm,n.农场农庄农田饲养场vt.收费务农vi.务农
farmer,n.农民农夫农场主
farther,adv.更远地进一步地adj.更远的进一步的
fascinate,vt.迷住 vi.迷人
fashion,n.样子方式风尚流行时装vt.形成适合
fashionable,adj.流行的时髦的
fast,"adj. 快速的偏快的固定的关紧的忠诚的聪明的耐久的野性的
adv.  快很快地固定地彻底地鲁莽的超前的vi.  绝食斋戒n. 禁
食(期) 系泊用具"
fasten,vt.扎牢扣住拴紧使固定系强加于vi.固定系紧抓紧
fatal,adj.致命的毁灭性的决定性的命运的
fate,n.命运天数天意vt.注定
father,n.父亲神父创始人鼻祖vt.作为父亲生育子女vi.像父亲般照顾
father-in-law,n.岳父公公
fatigue,n.疲劳劳累累活adj.疲劳的vt.使...疲劳使...心智衰弱vi.疲劳
fault,n.缺点过失故障vt. &vi.挑剔指责发现错误断裂
faulty,adj.有错误的有缺点的
favour,"n.好感赞同恩惠好意喜爱偏爱特权vt.给予关心偏爱支持利于长
得像=favor"
favourable,adj.有利的有用的良好的赞成的
favourite,adj.特别受喜爱的特别喜爱的n.特别喜爱的人(或物)
fax,n. 传真 vt. 传真
fear,n.害怕担心敬畏不安的原因vt.害怕敬畏
fearful,adj.害怕的可怕的担心的
feasible,adj.可行的可能的
feast,n.盛宴宴会酒席筵席节日节会vt. &vi.款宴享乐请客
feather,n.羽毛翎毛羽状物心情种类服饰vt.用羽毛装饰vi.长出羽毛
feature,n.特征特色面貌vt.以...为特色vi.起重要作用
February,n.二月
federal,adj.联邦(制)的联邦政府的联盟的同盟的n.联邦主义者同盟盟友
federation,"n. 联邦,联合,联盟"
fee,n.费酬金赏金封地
feeble,a.虚弱的；微弱的
feed,vt.喂(养)饲养靠...为生vi.吃饲料进食n.饲养饲料一餐
feedback,n.回授反馈反应成果
feel,vi.有知觉似乎同情vt.触摸感觉觉得n.感觉触觉直觉氛围
feeling,n.感情感觉知觉意识气氛adj.有感情的富于同情心的含情脉脉的
fellow,n.人家伙伙伴朋友同类校董研究生adj.同类的同事的同伴的
fellowship,n.伙伴关系；联谊会
female,n.雌性的动植物女子adj.雌的女(性)的凹的
feminine,a.女性的；女子气的
fence,"n.栅栏围墙击剑术买卖赃物的人v.用篱笆围住练习剑术防护买卖
赃物"
ferry,n.渡船；渡口 vt.运送
fertile,adj.肥沃的多产的能繁殖的、
fertilize,v.施肥使丰饶
fertilizer,n.肥料
festival,n.节日音乐节庆祝及祭祀欢宴adj.节日的喜庆的
fetch,vt.拿来请来接去航行到达vi.取回兜圈子n.取得
fever,n.发热发烧狂热vt.激怒vi.发烧
few,adj.很少的少数的pron.少数n.少量
fibre,n.纤维纤维质纤维组织织地
fiction,n.小说虚构杜撰
field,"n.田野田地原野牧场场地领域运动场adj.田间的野外的vi.担任
场外队员vt.把(谷物等)暴晒于场上 上场"
fierce,adj.凶猛的猛烈的残暴的强烈的狂热的
fifteen,num.十五十五个pron.十五(个只...)adj.十五的十五个的
fifth,num.第五n.五分之一
fifty,num.五十五十个
fight,vi.打架(仗)斗争战斗斗志vt.对抗打架vi.斗争奋斗
figure,n.数字外形人物图形形状外形体型v.演算认为领会到
file,"n.档案公文箱锉刀,文件vt.把...归档列队行进申请"
fill,vt.装满盛满占满填充弥漫担任n.足量
film,"n.影片胶卷薄层薄膜vt.把...拍成电影给...覆上一薄层vi.从事
电影拍摄"
filter,vt. &vi.过滤渗透n.滤纸筛选滤波器过滤器滤色镜
final,adj.最后的决定性的n.决赛期末考试
finally,adv.最后最终不可更改的
finance,n.财政金融财源vt.给...提供资金负担经费
financial,adj.财政的金融的
find,vt. &vi.找到发觉找出感觉到认为n.发现物
finding,"n. 发现发现物调查(或研究)的结果[律]裁判裁决(复数）
findings：(珠宝商等使用的)零碎的工具或材料find的现在分词"
fine,"a.美好的优质的精致的晴朗的健康的纤细的恭维的辞藻华丽的
adv.恰好地合适地n.罚款罚金结尾vt.罚款vi.净化细化"
finger,"n.手指指针指状物vt.用手指触碰(演奏)(用手)指vi.触摸用手指
演奏乐器"
finish,"vt.完成结束获...第几名vi.终结完成n.结束完成最后加工结局
完美"
finite,a.有限的；有尽的
fire,n.火火灾射击vi.点燃解职开枪开火
fireman,n.消防队员司炉工
firm,"n.商行商号公司vt.(使)变得坚实定案vi.变硬恢复adj.坚定的坚
固的结实的adv.稳固地坚定地"
first,"num. 第一adv. 最初首先第一优先adj. 第一的最早的一流的n.
(序数词)第一第一个人或事物(大学学位的) 最优等(汽车自行车
等的) 最低挡"
fish,n.鱼鱼肉vi.钓鱼捕鱼
fisherman,n.渔民渔夫打鱼人渔船
fist,n.拳(头)抓住vt.紧握用拳头打
fit,vt.适合安装vi.适合n.适宜发作adj.适宜的健壮的
fitting,a.适当的 n.配合
five,num.五五个第五
fix,"vt. &vi.使固定决定修理准备n.困境(船只、飞机等的)定方位贿
赂"
fixture,n.固定；定期存款
flag,n.旗旗帜旗标信号旗旗舰旗vt.打旗号vi.无力地下垂减退
flame,"n.火焰火舌鲜红色光辉恋人怀念辱骂信息热情vi.焚烧爆发面红
发辱骂信息vt.用烟火发信号用火对待发辱骂信息"
flank,n.肋，肋腹；侧面
flap,vt.&n.拍打 vi.拍动
flare,vi.闪耀闪光vt.使闪亮n.闪光闪耀[天]耀斑
flash,"n. 闪光闪现闪烁物花哨一瞬间电脑动画技术vi. 闪闪现闪烁vt.
传送用光联络流露出adj. 花哨的炫耀的昙花一现的"
flat,"adj.平的扁平的平坦的单调的adv.平直地干脆地n.一套房间单元
住宅[英]公寓vt.变平vi.降调"
flatter,vt.奉承，阿谀，谄媚
flavour,n.味味道风味香味vt给...加味
flaw,n.缺点，瑕疵；裂隙
flee,vi.逃走 vt.逃避
fleet,n.舰队船队团队机群vt. &vi.飞过掠过adj.跑得快的
flesh,n.肉肌肉肉体人性vt.用肉喂赋予血肉使长肉vi.变胖
flexible,adj.易弯曲的灵活的柔韧的可变通的
flight,n.航班飞行逃跑航程(鸟等)群奇思妙想一段楼梯vi.滑行vt.冲
fling,vi.&vt.(用力)扔，抛
float,"vi.漂浮游荡飘vt.使漂浮提出开办新公司洽谈n.漂流物装有轮子
的展台或平板车企业的日常零钱"
flock,"n.羊群群大量信众软填料短绒棉絮毛屑vt.塞填充料vi.成群而行
聚集"
flood,n.洪水水灾vt. &vi.灌溉淹没泛滥
floor,n.地板楼层底部地面议员底线vt.铺地板击倒油门踩到底
flour,n.面粉粉粉状物质vt. &vi.研成粉末
flourish,"vi.繁荣茂盛兴旺活跃手舞足蹈vt.挥舞n.挥舞华丽词藻茂盛兴旺
炫耀"
flow,"vi.流动飘垂涨潮顺利进行来vt.使流动淹没n.流水流循环顺畅涨
潮"
flower,"n.花花卉开花华丽盛年精英自然发展的结果vi.成熟。开花vt.使
开花用花装饰"
flu,n.流行性感冒
fluctuate,vi.波动 vt.使波动
fluent,adj.流利的流畅的
fluid,n.流体液体adj.流畅优美的流体的流动的不稳定的
flush,"vi.奔流(脸)发红冲刷旺盛成长vt.用水冲洗惊起(一群鸟)抄...
老窝使兴奋adj.丰足的齐平的满盈的adv.正直地羞涩地n.流溢面
红旺盛冲水(尤指冲马桶)突然萌发(纸牌)同花顺清一色"
flutter,vi.(鸟)振翼；飘动
fly,n.蝇苍蝇两翼昆虫飞行升高vt. &vi.飞行飞翔逃走飞逝猛然移动
foam,n.泡沫；泡沫塑料
focus,vi.聚焦注视集中聚集使集中n.焦点焦距
fog,n.雾烟雾尘雾朦胧喷雾迷惑vt. &vi.以雾笼罩使模糊迷惑
foil,"n. 箔,金属薄片 vt. 贴箔于, 衬托"
fold,"vt.折叠合拢包交叉拥抱vi.翻倍彻底失败倒闭n.褶折层折痕羊栏
羊群"
folk,n.人们家属亲属adj.民间的
follow,vt.跟随沿行遵循听得懂结果是vi.跟着做之后是n.跟随
following,"adj.接着的下列的其次的prep.在(某事)以后n.下列各项部下党
羽"
fond,adj.喜爱的溺爱的愚蠢的渴望的n.基础
food,n.食物食品养料
fool,n.蠢人傻子受骗者vt.欺骗愚弄vi.干傻事开玩笑adj.愚蠢的
foolish,adj.愚蠢的鲁莽的荒谬的可笑的
foot,"n.脚最下部英尺山脚最底部一步长音步进程vi.跳舞步行vt.表演
舞步付账踩踏结算"
football,n.足球比赛足球橄榄球
footstep,n.脚步脚步声足迹
for,prep.为给因为关于代表支持往conj.因为
forbid,vt.禁止不许阻止妨碍
forbidden,adj.被禁止的
force,vt.强迫施暴强夺加压力强制n.力力量武力暴力影响力
forecast,n.预测预报vt. &vi.预示预测
forehead,n.额头前部
foreign,adj.外国的外来的外交的不相关的
foreigner,n.外国人
foremost,adj.最初的第一流的adv.在最前面
foresee,vt.预见，预知，看穿
forest,n.森林森林地带园林林火vt.用树林覆盖植树
forever,adv.永远总是老是n.漫长时间
forget,vt. &vi.忘记遗忘忽略
forgive,vt. &vi.原谅饶恕宽恕
fork,n.餐叉叉叉状物vt. &vi.叉起耙成叉状
form,n.形式形状表格vt.形成组成建立
formal,adj.正式的礼仪上的形式的拘谨的n.正式(活动)
format,n. 格式 v. 格式化
formation,n.形成构成形成物编队
former,adj.在前的以前的前任的n.前者形成的原因
formidable,a.可怕的；难对付的
formula,n.公式式配方规则代乳品adj.(赛车的)级的方程式的
formulate,vt.用公式表示
fort,n.要塞，堡垒
forth,adv.向前向外往外露出
forthcoming,a.即将到来的；现有的
fortnight,n.两星期十四天
fortunate,adj.幸运的侥幸的
fortunately,adv.幸运地幸亏
fortune,n.命运运气财产
forty,num. &adj.四十第四十pron.四十(个只...)
forum,n.论坛，讨论会
forward,adv.向前今后往后adj.向前的早的迅速的前锋v.转交促进运送
fossil,n.化石 a.化石的
foster,vt.养育，抚养；培养
foul,a.肮脏的；丑恶的
found,"vt.创立创办建立打地基铸造vbl.寻找(find的过去分词)adj.装
备完善的n.食宿"
foundation,n.基础根据建立地基基金
fountain,n.泉水喷泉源泉储水容器vt. &vi.使像喷泉一样流
four,num.四四个第四
fourteen,num.十四第十四
fourth,num.第四四分之一n.四分之一
fox,n.狐狸狡猾的人v.奸狡地行动
fraction,n.小部分片断分数破片
fracture,n.破裂；裂痕 vi.破裂
fragile,a.脆的；体质弱的
fragment,n.碎片破片碎块vt. &vi.变成碎片
frame,n.框架框子构架
framework,n.框架构架结构骨架v.构成把...框起来陷害adj.木结构的
France,n.法国法兰西
frank,adj.坦白的直率的无误的vt.免费邮寄使自由出入n.免费邮寄
fraud,"n. 骗子,欺骗,欺诈,诡计"
free,adj.自由的空闲的大方的免费的vt.释放解放adv.自由地免费地
freedom,n.自由自主
freely,adv.自由地免费地直率地大量地
freeze,vi.冻结冻冷动僵硬vt.使结冰
freight,n.货运货物运费船货vt.装货运送使充满(某种心情或口气)
French,adj.法国(人)的法语的n.法国人法语vt.剁肉蔬菜切成长条
frequency,n.屡次次数频率频繁
frequent,adj.时常发生的经常的频繁的vt.常到常去
frequently,adv.时常常常经常地频繁地
fresh,"adj.新的新鲜的无经验的淡(水)的精神饱满的纯洁无瑕的生动的
adv.最近地n.涌流"
friction,n.摩擦摩擦力分歧
Friday,n.星期五
fridge,n.电冰箱
friend,n.朋友友人赞助者支持者vt.做朋友对人友好
friendly,adj.友好的友谊的adv.友好地n.友好者
friendship,n.友谊友好
frighten,vt.使惊恐吓唬惊恐
fringe,n.穗，毛边；边缘
frog,n.蛙马的蹄叉刀剑的挂环
from,prep.从...来离开
front,adj.前面的n.前部前面开头前线vt.面对朝向对付vi.面朝做掩护
frontier,n.边境边界边疆新领域尖端边缘
frost,n.冰冻严寒霜冷漠vt. &vi.覆着霜冻结结霜
frown,vt. &vi.皱眉蹙额不同意n.皱眉不悦
fruit,n.水果果实成果vt. &vi.结果实
fruitful,adj.多产的肥沃的富有成效的
frustrate,vt.挫败；使无效
fry,vt.油煎油炸油炒炸焦vi.油炸烧焦n.(美)法式炸薯条
fuel,n.燃料木炭vt.给...加燃料vi.加燃料
fulfil,vt.履行满足完成实践使应验
full,"adj. 满的完全的充满的丰富的adv. 完全地整整vt. 使...充满
通过缩水、捶打或熨烫增加(布料的)重量和厚度vi. 增厚n.  全
部十分极点鼎盛"
fun,"n.乐趣娱乐玩笑有趣的人或事物vi.开玩笑adj.充满乐趣的令人
愉悦的"
function,n.功能职务函数重大聚会vi.运行起作用
fund,n.资金基金存款储备vt.为...提供资金
fundamental,adj.基础的基本的根本的重要的n.基本原理基础
funeral,n.葬礼丧礼丧葬adj.葬礼(的)
funny,adj.古怪的滑稽的有趣的莫名其妙的n.笑话(the funny)滑稽戏
fur,"n.软毛毛皮裘皮毛皮服饰毛皮制品vt.用毛皮制作用毛皮盖于vi.
用毛皮制的"
furious,a.狂怒的；狂暴的
furnace,n.炉子熔炉鼓风炉闷热地带严峻考验
furnish,vt.供应提供装备布置
furniture,n.家具装置设备
further,adv.更远地此外进一步地adj.更远的v.促进推动vt.促进
furthermore,adv.而且此外
fuse,n.保险丝，导火线
fusion,"n. 熔合物,结合,熔合"
fuss,n.忙乱；吹捧 vi.忙乱
future,n.将来未来前途前程期货adj.将来的
gain,"vt.获得得到增进增加vi.增加得到(钟表等)走得快n.增进增益获
得利润"
galaxy,"n. 银河,星系,一群显赫的人物"
gallery,n.长廊，游廊；画廊
gallon,n.加仑(容量单位)
gamble,n.赌博 vt.冒…的险
game,"n.游戏比赛猎物行业非法手段策略野味戏弄vi.赌博vt.欺骗adj.
乐意做的勇敢的跛的"
gang,n.一帮一伙队群帮vt. &vi.结一组联合在一起
gaol,"n. 监禁,监狱 vt. 监禁"
gap,"n. 缺口间隔差距(意见、个性等的)差异缝隙漏洞vt. 制造缺口
嘉普( 财富500强公司之一总部所在地美国主要经营服装零售)"
garage,n.车库加油站汽车修理厂vt.把...放入车库
garbage,n.垃圾，污物，废料
garden,"n. 花园菜园果园菜园草地公园vi. 栽培花木从事园艺工作vt.
造园以花园装饰adj. 花园的园艺的绿化的平凡的"
gardener,n.园丁花匠园艺家
garment,n.衣服；服装，衣着
gas,"n.煤气气体汽油空话能量vt.使吸入毒气死给...加汽油vi.空谈
加汽油"
